15,3629
31,0657
46,7648
62,1858
77,7808
93,0259
109,3108
124,6401
140,1302
155,6955
170,9301
186,6859
202,2091
217,9776
234,362
249,8646
265,5732
281,3478
296,8828
312,5919
327,8512
343,1958
359,0485
374,7527
390,56
406,1844
421,188
436,6837
452,1555
467,2903
482,6121
498,2503
514,1361
529,6372
545,2044
560,7248
576,3159
592,2193
607,7628
624,0933
639,6369
655,1907
670,796
686,5193
702,1913
717,527
733,522
749,514
764,7699
780,4855
796,0279
812,4552
828,6144
844,432
860,4949
875,9927
892,5317
908,5569
924,1885
939,223
954,9186
970,281
985,7555
1001,2006
1016,5306
1032,9795
1049,0053
1064,9715
1080,9761
1096,5501
1112,5499
1128,6367
1144,5349
1160,5228
1177,0826
1192,1368
1208,5899
1224,6342
1239,1861
1255,6251
1271,6123
1287,6723
1303,1448
1319,3603
1334,8687
1351,4179
1366,5488
1381,8643
1398,1594
1414,5639
1429,8917
1444,9524
1460,4594
1474,9732
1491,427
1507,3614
1523,3253
1539,3237
1555,3431
1571,3239
1587,3236
1603,3469
1619,3505
1635,3222
1651,3371
1667,3507
1682,6799
1698,1511
1713,7007
1728,9099
1744,4565
1760,0013
1775,9933
1791,7483
1807,6857
1823,383
1839,1574
1855,3075
1870,7709
1886,0283
1901,5118
1917,53
1932,4365
1948,4295
1964,4079
1980,4102
1996,4081
2012,407
2028,4079
2044,4074
2060,4111
2076,4067
2092,4537
2108,4245
2124,0104
2139,4315
2155,009
2171,0284
2186,9187
2202,8831
2218,4356
2234,0846
2250,0264
2265,169
2280,4699
2296,839
2312,2917
2327,929
2343,6457
2359,5635
2375,5585
2391,5766
2407,5584
2423,5792
2439,5764
2455,5806
2471,5747
2487,558
2503,5767
2519,9323
2535,3635
2550,8276
2566,3501
2582,6783
2598,2153
2613,9457
2629,7183
2646,0303
2661,7264
2677,4006
2692,9678
2708,5005
2723,9829
2739,6623
2755,1124
2770,6313
2786,137
2802,3146
2817,6246
2833,0439
2848,6374
2864,8622
2880,4114
2896,0505
2912,0069
2927,6468
2943,479
2958,8741
2974,7851
2990,2738
3005,8399
3021,3784
3037,3782
3053,3983
3069,3768
3085,3767
3101,3925
3117,381
3132,3933
3148,4
3164,3945
3179,8703
3195,2934
3210,8748
3226,7813
3242,7835
3258,5627
3274,1952
3289,974
3305,5317
3321,1816
3336,6948
3352,1547
3368,1958
3383,6927
3398,9926
3415,3364
3431,2205
3446,9489
3462,5834
3478,2725
3494,4016
3509,6434
3525,2035
3540,9831
3556,678
3572,2449
3588,1256
3603,8262
3619,4641
3635,1331
3650,7298
3666,2915
3682,4876
3698,0574
3713,8398
3729,4719
3745,4658
3761,1217
3776,3904
3792,75
3808,4088
3823,8726
3839,2854
3855,0388
3870,6915
3886,3872
3902,0799
3917,8015
3933,8124
3949,7541
3965,7536
3981,7701
3997,7565
4013,7577
4029,7577
4045,773
4061,7539
4077,8093
4093,1818
4108,289
4123,4383
4139,4147
4154,756
4170,0042
4185,8327
4201,267
4216,797
4232,2598
4247,7812
4263,8394
4279,7405
4294,7188
4310,4384
4325,9786
4341,7072
4357,3062
4373,2963
4388,9692
4404,3946
4420,3964
4436,3134
4451,6018
4467,2357
4483,4119
4499,0828
4514,5995
4530,1182
4545,6447
4561,1819
4577,2423
4592,6785
4608,1708
4623,5583
4638,8007
4655,0218
4669,7642
4685,3009
4700,3331
4715,9716
4731,6907
4747,3204
4762,8308
4778,71
4794,3571
4810,0834
4825,4188
4841,5264
4857,3524
4872,9763
4888,4469
4904,2485
4920,1205
4935,4529
4951,7753
4967,4025
4983,0217
4998,5226
5014,3257
5030,0508
5045,7811
5061,8392
5076,9718
5092,9672
5108,984
5124,9678
5140,9894
5156,9684
5171,9881
5187,9875
5203,9674
5219,9863
5236,2952
5250,8708
5266,5556
5282,1007
5297,5195
5313,7023
5329,6135
5345,5958
5361,5848
5377,4926
5393,0038
5408,7551
5424,4798
5440,1709
5456,0354
5471,4227
5487,1932
5502,7555
5518,0824
5534,0741
5549,4274
5565,7666
5581,8179
5597,8727
5613,5296
5629,6309
5645,5369
5661,1352
5677,186
5693,6097
5708,8662
5724,3336
5739,6785
5755,0577
5771,091
5787,257
5802,0348
5817,4961
5832,9277
5848,6168
5864,2808
5879,7555
5894,8171
5910,4424
5926,0244
5941,635
5956,8495
5973,0882
5988,7678
6004,8076
6020,0058
6035,5956
6051,0041
6066,3523
6081,8679
6097,3775
6113,0591
6128,9012
6144,8961
6160,5
6176,0317
6191,753
6207,0371
6223,0295
6238,8102
6254,3369
6270,3576
