3,2609
19,871
35,2338
50,6936
66,8138
81,6531
97,3316
113,681
128,9348
144,8231
159,8084
175,1452
190,9044
206,6272
222,0226
237,31
252,8785
268,8337
284,6804
299,9635
315,9847
331,5656
347,3678
362,8514
378,65
394,2113
409,7546
425,2005
441,0649
457,0673
472,6781
488,7178
503,7689
519,4187
535,4136
551,4121
567,8856
583,6834
599,7666
615,4039
630,4058
646,1173
662,3227
678,1275
693,6616
708,6829
724,5294
740,3438
755,536
771,416
787,4726
802,8229
818,2984
834,2182
850,0135
865,5568
881,1314
896,7252
912,0741
927,2696
942,8592
959,0837
975,3896
991,0074
1006,6305
1022,3642
1038,4786
1054,3731
1070,427
1086,1512
1101,6577
1117,7307
1133,5336
1149,1215
1165,2898
1180,8945
1197,0727
1212,6089
1227,6751
1243,8022
1260,0347
1275,8659
1291,3093
1307,3203
1322,9291
1338,7819
1354,4588
1370,2297
1385,7826
1401,2853
1417,2998
1432,8896
1448,6516
1464,2287
1479,8256
1495,718
1510,7637
1526,0517
1540,7531
1556,3794
1572,1381
1588,0824
1604,3748
1620,2374
1635,2125
1650,787
1666,6058
1682,1656
1697,6022
1713,7053
1729,2747
1744,7667
1760,396
1776,6517
1792,4291
1808,1195
1823,7111
1839,2304
1854,8929
1870,1586
1886,3269
1902,0812
1917,9462
1933,432
1949,0258
1964,9549
1980,9487
1996,9495
2012,619
2028,4402
2044,3556
2059,9479
2075,4574
2091,4416
2106,8199
2122,5476
2137,846
2153,7975
2170,0609
2185,809
2201,4439
2217,1077
2232,7711
2248,108
2264,487
2279,8052
2295,4052
2311,5125
2326,9237
2342,7567
2358,7401
2374,3818
2390,2515
2405,5824
2421,1307
2436,55
2452,7597
2468,4521
2484,0472
2499,812
2514,9
2531,0572
2546,789
2562,6209
2578,2613
2593,5977
2609,1223
2624,81
2640,1067
2655,895
2671,4124
2687,3265
2702,9823
2718,4052
2734,3418
2750,0395
2765,8823
2782,1768
2798,3347
2814,6098
2830,1187
2845,679
2861,2942
2876,9983
2892,7287
2908,964
2924,5272
2940,2584
2956,2739
2972,1435
2987,6117
3003,4121
3018,4954
3034,6423
3050,3262
3065,7135
3081,7834
3097,3805
3112,5315
3128,5702
3143,926
3159,2067
3175,1972
3190,9067
3206,5525
3222,6462
3237,9156
3253,7469
3269,1827
3284,9683
3300,3956
3315,4668
3331,8178
3347,6174
3363,5286
3379,3012
3395,0018
3410,9868
3426,5198
3442,3629
3457,7943
3473,5257
3489,1551
3504,9154
3520,324
3536,1821
3551,7436
3567,653
3583,3212
3598,9177
3615,1409
3630,4702
3646,6563
3662,2123
3678,0366
3693,2777
3708,8338
3724,5267
3740,6236
3756,1234
3771,807
3787,3095
3802,9036
3818,6347
3834,1473
3849,9928
3866,0753
3881,7044
3897,2411
3912,9792
3928,2419
3943,5855
3959,5107
3975,055
3990,7345
4006,6955
4021,8689
4037,8191
4053,4859
4069,2563
4084,8616
4100,6432
4116,9455
4132,2292
4147,6179
4163,1601
4178,6807
4194,3218
4210,2461
4226,2506
4242,0921
4257,601
4273,3634
4289,0979
4304,6954
4320,4679
4336,1902
4351,8729
4367,5636
4383,5465
4399,0394
4414,6361
4430,176
4445,7576
4461,3712
4477,3074
4492,2634
4508,5462
4524,6771
4540,3736
4556,0799
4571,7484
4587,5049
4603,1737
4618,8023
4634,3343
4649,9801
4665,9697
4681,8591
4697,8765
4713,5249
4729,3787
4744,9428
4760,6924
4776,645
4792,3584
4808,1812
4823,3677
4838,8785
4854,3629
4869,9568
4885,8525
4901,4681
4917,1788
4932,9069
4948,5351
4964,3411
4980,1662
4996,5959
5012,173
5027,3799
5042,9128
5058,6376
5074,4038
5090,0292
5105,6825
5121,5717
5137,0298
5152,9713
5168,5381
5184,1472
5199,8735
5215,5812
5231,1068
5247,161
5263,1115
5279,117
5294,8963
5310,2291
5326,2006
5341,5617
5357,3336
5373,2278
5388,481
5404,495
5419,6783
5435,162
5451,2268
5466,7854
5482,4242
5498,2868
5513,8202
5529,2523
5544,801
5560,3051
5575,8578
5591,5423
5607,27
5622,7827
5638,6402
5654,3203
5670,3417
5686,5645
5702,2977
5717,9226
5733,5761
5749,0619
5764,7347
5780,7703
5796,2941
5811,8099
5827,0459
5842,8824
5859,113
5874,7416
5890,2962
5905,8451
5921,4091
5936,9694
5952,1803
5967,277
5982,986
5998,648
6014,7544
6031,0362
6046,4069
6062,4274
6078,4091
6093,8812
6109,2589
6125,2772
6140,9476
6156,8717
6172,7518
6189,1183
6204,2201
6220,5582
6236,0711
6251,5245
